rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",1,1,5,"15993525"
2,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",1,3,6,"8561978"
3,"spotify:track:1bDbXMyjaUIooNwFE9wn0N","Drake, 21 Savage","Rich Flex","OVO / Republic Records",1,2,10,"8276671"
4,"spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j","Metro Boomin, Future, Chris Brown","Superhero (Heroes & Villains) [with Future & Chris Brown]","Republic Records",2,8,6,"7155061"
5,"spotify:track:4FyesJzVpA39hbYvcseO2d","Lil Uzi Vert","Just Wanna Rock","Generation Now/Atlantic",5,5,13,"7023199"
6,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",1,4,12,"6485728"
7,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",1,6,28,"6417111"
8,"spotify:track:5odlY52u43F5BjByhxg7wg","JVKE","golden hour","JVKE",8,9,21,"6045025"
9,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",3,11,23,"5817292"
10,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",10,12,96,"5797381"
11,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,7,16,"5643700"
12,"spotify:track:2GAhgAjOhEmItWLfgisyOn","SZA","Low","Top Dawg Entertainment/RCA Records",4,14,5,"5417397"
13,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",4,15,38,"5359642"
14,"spotify:track:5Y35SjAfXjjG0sFQ3KOxmm","SZA","Nobody Gets Me","Top Dawg Entertainment/RCA Records",3,13,5,"5327642"
15,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,10,41,"5207494"
16,"spotify:track:0JXXNGljqupsJaZsgSbMZV","Miguel","Sure Thing","Jive",16,27,14,"5066477"
17,"spotify:track:2wSTnntOPRi7aQneobFtU4","SZA","Shirt","Top Dawg Entertainment/RCA Records",8,16,11,"4977264"
18,"spotify:track:0IKeDy5bT9G0bA7ZixRT4A","Fuerza Regida, Grupo Frontera","Bebe Dame","Rancho Humilde/Street Mob Records",18,37,3,"4562612"
19,"spotify:track:1Y3LN4zO1Edc2EluIoSPJN","Stephen Sanchez, Em Beihold","Until I Found You (with Em Beihold) - Em Beihold Version","Republic Records",18,18,5,"4519787"
20,"spotify:track:5WxVXxCMRnvxUKFq40ELwq","RAYE, 070 Shake","Escapism.","Human Re Sources",20,24,6,"4466011"
21,"spotify:track:78Sw5GDo6AlGwTwanjXbGh","d4vd","Here With Me","Darkroom/Interscope Records",21,22,12,"4463462"
22,"spotify:track:68Dni7IE4VyPkTOH9mRWHr","J. Cole","No Role Modelz","Roc Nation Records LLC",10,26,257,"4272053"
23,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",8,17,20,"4269616"
24,"spotify:track:2CSRrnOEELmhpq8iaAi9cd","SZA","Blind","Top Dawg Entertainment/RCA Records",5,20,5,"4244364"
25,"spotify:track:5uU1uuyaUIBOiiUSQG7Wl3","Morgan Wallen","You Proof","Big Loud / Mercury Records / Republic Records",11,19,35,"4237624"
26,"spotify:track:3F5CgOj3wFlRv51JsHbxhe","Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)","OVO",2,23,30,"4222444"
27,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",13,25,125,"4093736"
28,"spotify:track:4686eQ81DEswHa90bcdlC9","Bailey Zimmerman","Rock and A Hard Place","Warner Music Nashville/Elektra",26,32,31,"3963165"
29,"spotify:track:3azJifCSqg9fRij2yKIbWz","Tory Lanez","The Color Violet","One Umbrella Records",29,36,19,"3943139"
30,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",18,35,5,"3881763"
31,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",3,21,36,"3849774"
32,"spotify:track:3hxIUxnT27p5WcmjGUXNwx","Hotel Ugly","Shut up My Moms Calling","Hotel Ugly, under exclusive license to Amuseio AB",32,46,19,"3799005"
33,"spotify:track:5jQI2r1RdgtuT8S3iG8zFC","Taylor Swift","Lavender Haze","Taylor Swift",2,29,12,"3772567"
34,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",34,61,3,"3673614"
35,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",7,30,32,"3673027"
36,"spotify:track:3EaJDYHA0KnX88JvDhL9oa","Steve Lacy","Dark Red","Three Quarter",16,34,75,"3622685"
37,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",2,28,36,"3532853"
38,"spotify:track:59nOXPmaKlBfGMDeOVGrIK","Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)","Epic/Freebandz",3,45,37,"3442702"
39,"spotify:track:2Hh3ETdQKrmSI3QS0hme7g","Metro Boomin, Future, Don Toliver","Too Many Nights (feat. Don Toliver & with Future)","Republic Records",10,39,6,"3441868"
40,"spotify:track:4WuOWVnAqvEQxgSRrspBgt","Metro Boomin, Travis Scott, 21 Savage","Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]","Republic Records",7,42,6,"3363929"
41,"spotify:track:4PMqSO5qyjpvzhlLI5GnID","SZA","Good Days","Top Dawg Entertainment/RCA Records",1,44,90,"3334286"
42,"spotify:track:3cBsEDNhFI9E82vPj3kvi3","Morgan Wallen","Wasted On You","Big Loud / Republic",3,40,103,"3306125"
43,"spotify:track:1N8TTK1Uoy7UvQNUazfUt5","ThxSoMch","SPIT IN MY FACE!","Elektra (NEK)",43,55,9,"3288110"
44,"spotify:track:0QHEIqNKsMoOY5urbzN48u","Meghan Trainor","Made You Look","Epic",27,33,12,"3278892"
45,"spotify:track:58ge6dfP91o9oXMzq3XkIS","Arctic Monkeys","505","Domino/Warner Records",18,50,104,"3253932"
46,"spotify:track:1eIXYZWEfJO3Na2LCCnIJE","SZA","Love Language","Top Dawg Entertainment/RCA Records",11,43,5,"3122879"
47,"spotify:track:7H0ya83CMmgFcOhw0UB6ow","Beach House","Space Song","Sub Pop Records",47,57,78,"3056846"
48,"spotify:track:65FftemJ1DbbZ45DUfHJXE","NewJeans","OMG","ADOR",48,-1,1,"3055766"
49,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",10,31,24,"3048316"
50,"spotify:track:0O6u0VJ46W86TxN9wgyqDj","Post Malone, Doja Cat","I Like You (A Happier Song) (with Doja Cat)","Mercury Records/Republic Records",3,49,32,"3047402"
51,"spotify:track:7EAMXbLcL0qXmciM5SwMh2","Mac DeMarco","Heart To Heart","Mac’s Record Label",51,71,4,"3042063"
52,"spotify:track:2mnXxnrX5vCGolNkaFvVeM","Arcángel, Bad Bunny","La Jumpa","Rimas Entertainment LLC.",45,53,6,"3019923"
53,"spotify:track:3rWDp9tBPQR9z6U5YyRSK4","Taylor Swift","Midnight Rain","Taylor Swift",3,48,12,"3015468"
54,"spotify:track:54ELExv56KCAB4UP9cOCzC","Ñengo Flow, Bad Bunny","Gato de Noche","Rimas Entertainment LLC",38,41,3,"2966737"
55,"spotify:track:2TktkzfozZifbQhXjT6I33","Omar Apollo","Evergreen (You Didn’t Deserve Me At All)","Warner Records",12,65,18,"2964406"
56,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,38,111,"2931063"
57,"spotify:track:3QFInJAm9eyaho5vBzxInN","Baby Keem, Kendrick Lamar","family ties (with Kendrick Lamar)","Columbia",8,63,72,"2916778"
58,"spotify:track:6Um358vY92UBv5DloTRX9L","Carin Leon, Grupo Frontera","Que Vuelvas","BorderKid Records/Sony Music Latin",58,88,2,"2868353"
